type,datetime,year,month,day,hour,minute,name,survey_type,site,plant,id,hydrology,PAR_a,PAR_b,transmittance,LAI,chi,beam_fraction,zenith_angle,Latitude,Longitude
SUM,7/15/2024 15:44,2024,7,15,15,44,,bad,NA,,,,0,0,0,0,1,0,37°,34°,-120°
SUM,7/15/2024 16:05,2024,7,15,16,5,,bad,NA,,,,0,1423.2,0,0,1,0,41°,34°,-120°
SUM,7/15/2024 16:06,2024,7,15,16,6,FFS5-TR-56,bad,NA,,,,1468.7,1430.2,0.974,0.04,1,0.87,41°,34°,-120°
SUM,7/15/2024 16:12,2024,7,15,16,12,CAL,cal,NA,,,,0,1394.7,0,0,1,0,43°,34°,-120°
SUM,7/16/2024 10:32,2024,7,16,10,32,HRNA-CAL,cal,NA,,,,1653.8,1651.1,0.998,0,1,0.89,35°,34°,-119°
SUM,7/16/2024 10:40,2024,7,16,10,40,HRNA-SAL02,physio,Lost Creek,SalLas,2,dry,1662.1,97.1,0.058,5.03,1,0.87,34°,34°,-119°
SUM,7/16/2024 11:08,2024,7,16,11,8,HRNABAC142,physio,Lost Creek,BacSal,142,dry,1800.7,704.3,0.392,2.22,1,0.89,28°,34°,-119°
SUM,7/16/2024 11:13,2024,7,16,11,13,HRNAARD104,physio,Lost Creek,AruDon,104,dry,1795.7,306.7,0.17,3.63,1,0.88,27°,34°,-119°
SUM,7/16/2024 11:16,2024,7,16,11,16,HRNASAL114,physio,Lost Creek,SalLas,114,dry,1809.9,247.9,0.137,3.97,1,0.88,26°,34°,-119°
SUM,7/16/2024 11:29,2024,7,16,11,29,HRNABAC138,physio,Lost Creek,BacSal,138,dry,1885.7,445.7,0.236,3.2,1,0.9,24°,34°,-119°
SUM,7/16/2024 11:35,2024,7,16,11,35,HRNAARU103,physio,Lost Creek,AruDon,103,dry,1891.8,423.3,0.224,3.27,1,0.89,23°,34°,-119°
SUM,7/16/2024 11:40,2024,7,16,11,40,HRNAARU147,physio,Lost Creek,AruDon,147,dry,1881.6,436.8,0.232,3.17,1,0.88,22°,34°,-119°
SUM,7/16/2024 11:48,2024,7,16,11,48,HRNAARU156,physio,Lost Creek,AruDon,156,dry,1930.9,745.4,0.385,2.13,1,0.9,21°,34°,-119°
SUM,7/16/2024 11:50,2024,7,16,11,50,HRNASAL117,physio,Lost Creek,SalLas,117,dry,1915.8,178.4,0.093,5.12,1,0.89,20°,34°,-119°
SUM,7/16/2024 11:58,2024,7,16,11,58,HRNASAL125,physio,Lost Creek,SalLas,125,dry,1946.4,120.8,0.062,5.74,1,0.89,19°,34°,-119°
SUM,7/16/2024 12:08,2024,7,16,12,8,HRNAGRD111,grid,Lost Creek,,111,dry,0,837.9,0,0,1,0,17°,34°,-119°
SUM,7/16/2024 12:11,2024,7,16,12,11,HRNAGRD112,grid,Lost Creek,,112,dry,0,564.5,0,0,1,0,17°,34°,-119°
SUM,7/16/2024 12:13,2024,7,16,12,13,HRNAGRD113,grid,Lost Creek,,113,dry,0,1162,0,0,1,0,17°,34°,-119°
SUM,7/16/2024 12:15,2024,7,16,12,15,HRNAGRD123,grid,Lost Creek,,123,dry,0,249.6,0,0,1,0,16°,34°,-119°
SUM,7/16/2024 12:17,2024,7,16,12,17,HRNAGRD133,grid,Lost Creek,,133,dry,0,534.9,0,0,1,0,16°,34°,-119°
SUM,7/16/2024 12:19,2024,7,16,12,19,HRNAGRD132,grid,Lost Creek,,132,dry,0,220.8,0,0,1,0,16°,34°,-119°
SUM,7/16/2024 12:23,2024,7,16,12,23,HRNAGRD122,grid,Lost Creek,,122,dry,0,269.5,0,0,1,0,15°,34°,-119°
SUM,7/16/2024 12:26,2024,7,16,12,26,HRNAGRD121,grid,Lost Creek,,121,dry,0,630.9,0,0,1,0,15°,34°,-119°
SUM,7/16/2024 12:28,2024,7,16,12,28,HRNAGRD131,grid,Lost Creek,,131,dry,0,798.8,0,0,1,0,15°,34°,-119°
SUM,7/16/2024 12:34,2024,7,16,12,34,HRNAARU104,physio,Lost Creek,AruDon,104,dry,1996.2,493.4,0.246,3.29,1,0.9,14°,34°,-119°
SUM,7/16/2024 12:39,2024,7,16,12,39,HRNABAC149,physio,Lost Creek,BacSal,149,dry,1983.4,885.1,0.446,2.01,1,0.89,14°,34°,-119°
SUM,7/16/2024 12:43,2024,7,16,12,43,HRNABAC135,physio,Lost Creek,BacSal,135,dry,1980.1,438.3,0.22,3.5,1,0.89,13°,34°,-119°
SUM,7/16/2024 12:46,2024,7,16,12,46,HRNACAL2,cal,Lost Creek,,,,2025.3,0,0,0,1,0.9,13°,34°,-119°
SUM,7/16/2024 13:09,2024,7,16,13,9,HRNAARU155,physio,Lost Creek,AruDon,155,wet,1981.2,135.7,0.068,5.66,1,0.88,13°,34°,-119°
SUM,7/16/2024 13:11,2024,7,16,13,11,HRNAARU136,physio,Lost Creek,AruDon,136,wet,1958,236.8,0.121,4.83,1,0.88,13°,34°,-119°
SUM,7/16/2024 13:18,2024,7,16,13,18,HRNABAC116,physio,Lost Creek,BacSal,116,wet,1974.6,1137.8,0.577,1.17,1,0.88,13°,34°,-119°
SUM,7/16/2024 13:22,2024,7,16,13,22,HRNABAC121,physio,Lost Creek,BacSal,121,wet,1971.7,1031.5,0.526,1.52,1,0.88,13°,34°,-119°
SUM,7/16/2024 13:27,2024,7,16,13,27,HRNAARU154,physio,Lost Creek,AruDon,154,wet,1915,132.8,0.068,5.44,1,0.87,14°,34°,-119°
SUM,7/16/2024 13:34,2024,7,16,13,34,HRNASAL118,physio,Lost Creek,SalLas,118,wet,1976.1,139.2,0.07,5.32,1,0.89,15°,34°,-119°
SUM,7/16/2024 13:38,2024,7,16,13,38,HRNASAL151,physio,Lost Creek,SalLas,151,wet,1978.9,257.6,0.13,4.49,1,0.89,15°,34°,-119°
SUM,7/16/2024 13:40,2024,7,16,13,40,HRNASAL122,physio,Lost Creek,SalLas,122,wet,0,109,0,0,1,0,15°,34°,-119°
SUM,7/16/2024 13:44,2024,7,16,13,44,HRNASAL155,physio,Lost Creek,SalLas,155,wet,1945.4,409.5,0.21,3.67,1,0.88,16°,34°,-119°
SUM,7/16/2024 13:50,2024,7,16,13,50,HRNABAC123,physio,Lost Creek,BacSal,123,wet,1927.2,738.1,0.381,2.22,1,0.88,16°,34°,-119°
SUM,7/16/2024 13:53,2024,7,16,13,53,HRNABAC123,physio,Lost Creek,BacSal,123,wet,1947,152.2,0.078,5.19,1,0.89,17°,34°,-119°
SUM,7/16/2024 13:59,2024,7,16,13,59,HRNABAC140,physio,Lost Creek,BacSal,140,wet,0,982.3,0,0,1,0,18°,34°,-119°
SUM,7/16/2024 14:03,2024,7,16,14,3,HRNAGRD211,grid,Lost Creek,,211,wet,0,375.4,0,0,1,0,19°,34°,-119°
SUM,7/16/2024 14:05,2024,7,16,14,5,HRNAGRD212,grid,Lost Creek,,212,wet,0,1907.9,0,0,1,0,19°,34°,-119°
SUM,7/16/2024 14:07,2024,7,16,14,7,HRNAGRD213,grid,Lost Creek,,213,wet,0,975.5,0,0,1,0,19°,34°,-119°
SUM,7/16/2024 14:09,2024,7,16,14,9,HRNAGRD223,grid,Lost Creek,,223,wet,0,102,0,0,1,0,19°,34°,-119°
SUM,7/16/2024 14:11,2024,7,16,14,11,HRNAGRD233,grid,Lost Creek,,233,wet,0,228.4,0,0,1,0,20°,34°,-119°
SUM,7/16/2024 14:16,2024,7,16,14,16,HRNAGRD232,grid,Lost Creek,,232,wet,0,245,0,0,1,0,21°,34°,-119°
SUM,7/16/2024 14:19,2024,7,16,14,19,HRNAGRD222,grid,Lost Creek,,222,wet,0,643.5,0,0,1,0,21°,34°,-119°
