type,datetime,hour,minute,solar_noon_diff,site,plant_type,par_a,par_b,transmittance,lai,chi,beam_frac,zenith_angle,latitude,longitude,,
SUM,7/19/2024 8:02:50 AM,8.0,2.0,5.1,MARCAL800,Reference,167.6,0.0,0.000,0.00,1.00,0.02,66°,34°,-119°,,
SUM,7/19/2024 8:05:47 AM,8.0,5.0,5.0,MARPLT800A,Tree,172.8,7.0,0.041,3.85,1.00,0.02,66°,34°,-119°,,
SUM,7/19/2024 10:11:30 AM,10.0,11.0,2.9,MARPLT800A,Tree,1491.9,8.8,0.006,8.21,1.00,0.86,40°,34°,-119°,,
SUM,7/19/2024 11:41:30 AM,11.0,41.0,1.4,MARPLT800A,Tree,1872.1,12.8,0.007,9.94,1.00,0.88,22°,34°,-119°,,
SUM,7/19/2024 1:24:19 PM,13.0,24.0,-0.3,MARPLT800A,Tree,1996.4,8.9,0.003,7.26,1.00,0.89,14°,34°,-119°,,
SUM,7/19/2024 2:39:49 PM,14.0,39.0,-1.6,MARPLT800A,Tree,1837.3,6.7,0.003,10.20,1.00,0.87,25°,34°,-119°,,
SUM,7/19/2024 3:44:58 PM,15.0,44.0,-2.6,MARPLT800A,Tree,1567.6,7.2,0.004,8.77,1.00,0.87,38°,34°,-119°,,
SUM,7/19/2024 5:03:39 PM,17.0,3.0,-4.0,MARPLT800A,Tree,1097.7,6.2,0.006,6.59,1.00,0.85,54°,34°,-119°,,
SUM,7/19/2024 8:09:04 AM,8.0,9.0,4.9,MARPLT800B,Tree,167.3,33.3,0.199,2.10,1.00,0.02,65°,34°,-119°,,
SUM,7/19/2024 10:13:02 AM,10.0,13.0,2.9,MARPLT800B,Tree,1489.5,33.4,0.022,6.48,1.00,0.86,40°,34°,-119°,,
SUM,7/19/2024 11:42:50 AM,11.0,42.0,1.4,MARPLT800B,Tree,1886.7,27.6,0.014,8.63,1.00,0.89,22°,34°,-119°,,
SUM,7/19/2024 1:25:21 PM,13.0,25.0,-0.3,MARPLT800B,Tree,1987.0,22.1,0.011,9.10,1.00,0.89,14°,34°,-119°,,
SUM,7/19/2024 2:40:57 PM,14.0,40.0,-1.6,MARPLT800B,Tree,1840.3,19.2,0.010,8.49,1.00,0.89,25°,34°,-119°,,
SUM,7/19/2024 3:46:01 PM,15.0,46.0,-2.7,MARPLT800B,Tree,1552.1,18.1,0.012,7.22,1.00,0.87,38°,34°,-119°,,
SUM,7/19/2024 5:04:47 PM,17.0,4.0,-4.0,MARPLT800B,Tree,1063.0,16.0,0.016,5.20,1.00,0.79,55°,34°,-119°,,
SUM,7/19/2024 8:11:20 AM,8.0,11.0,4.9,MARPLT800C,Tree,164.1,3.8,0.023,4.42,1.00,0.02,65°,34°,-119°,,
SUM,7/19/2024 10:14:19 AM,10.0,14.0,2.9,MARPLT800C,Tree,1509.9,9.2,0.006,8.21,1.00,0.86,39°,34°,-119°,,
SUM,7/19/2024 11:44:00 AM,11.0,44.0,1.4,MARPLT800C,Tree,1891.3,6.2,0.003,10.81,1.00,0.89,22°,34°,-119°,,
SUM,7/19/2024 1:26:27 PM,13.0,26.0,-0.3,MARPLT800C,Tree,1998.6,5.7,0.003,11.53,1.00,0.90,14°,34°,-119°,,
SUM,7/19/2024 2:42:09 PM,14.0,42.0,-1.6,MARPLT800C,Tree,1828.8,7.3,0.004,10.53,1.00,0.89,26°,34°,-119°,,
SUM,7/19/2024 3:46:58 PM,15.0,46.0,-2.7,MARPLT800C,Tree,1562.0,19.9,0.012,8.26,1.00,0.88,38°,34°,-119°,,
SUM,7/19/2024 5:05:41 PM,17.0,5.0,-4.0,MARPLT800C,Tree,1039.5,9.0,0.009,6.26,1.00,0.79,55°,34°,-119°,,
SUM,7/19/2024 8:14:25 AM,8.0,14.0,4.9,MARPLT800D,Tree,169.9,7.4,0.043,3.70,1.00,0.02,64°,34°,-119°,,
SUM,7/19/2024 10:15:37 AM,10.0,15.0,2.8,MARPLT800D,Tree,1509.3,10.1,0.006,8.10,1.00,0.86,39°,34°,-119°,,
SUM,7/19/2024 11:45:33 AM,11.0,45.0,1.3,MARPLT800D,Tree,1895.0,12.5,0.006,10.05,1.00,0.89,21°,34°,-119°,,
SUM,7/19/2024 1:27:28 PM,13.0,27.0,-0.4,MARPLT800D,Tree,1989.6,9.8,0.005,10.30,1.00,0.89,14°,34°,-119°,,
SUM,7/19/2024 2:43:10 PM,14.0,43.0,-1.6,MARPLT800D,Tree,1815.2,37.5,0.020,8.21,1.00,0.88,26°,34°,-119°,,
SUM,7/19/2024 3:47:48 PM,15.0,47.0,-2.7,MARPLT800D,Tree,1556.9,18.4,0.012,7.32,1.00,0.88,39°,34°,-119°,,
SUM,7/19/2024 5:06:38 PM,17.0,6.0,-4.0,MARPLT800D,Tree,1055.6,16.8,0.016,5.28,1.00,0.83,55°,34°,-119°,,
SUM,7/19/2024 8:17:26 AM,8.0,17.0,4.8,MARPLT800E,Tree,269.0,11.2,0.041,3.77,1.00,0.00,63°,34°,-119°,,
SUM,7/19/2024 10:16:45 AM,10.0,16.0,2.8,MARPLT800E,Tree,1514.7,11.2,0.007,7.77,1.00,0.86,39°,34°,-119°,,
SUM,7/19/2024 11:46:52 AM,11.0,46.0,1.3,MARPLT800E,Tree,1887.8,11.7,0.006,9.49,1.00,0.88,21°,34°,-119°,,
SUM,7/19/2024 1:28:24 PM,13.0,28.0,-0.4,MARPLT800E,Tree,1992.1,34.9,0.017,8.67,1.00,0.89,14°,34°,-119°,,
SUM,7/19/2024 2:44:10 PM,14.0,44.0,-1.6,MARPLT800E,Tree,1809.2,36.9,0.020,7.59,1.00,0.89,26°,34°,-119°,,
SUM,7/19/2024 3:48:42 PM,15.0,48.0,-2.7,MARPLT800E,Tree,1558.5,38.5,0.024,6.30,1.00,0.88,39°,34°,-119°,,
SUM,7/19/2024 5:07:28 PM,17.0,7.0,-4.0,MARPLT800E,Tree,1050.7,155.7,0.146,3.82,1.00,0.84,55°,34°,-119°,,
SUM,7/19/2024 8:26:36 AM,8.0,26.0,4.7,MARPLT800F,Shrub,268.5,17.9,0.067,3.65,1.00,0.00,62°,34°,-119°,,
SUM,7/19/2024 10:20:34 AM,10.0,20.0,2.8,MARPLT800F,Shrub,1520.9,9.5,0.006,8.38,1.00,0.85,38°,34°,-119°,,
SUM,7/19/2024 11:49:09 AM,11.0,49.0,1.3,MARPLT800F,Shrub,1893.8,22.9,0.012,8.87,1.00,0.89,21°,34°,-119°,,
SUM,7/19/2024 1:30:13 PM,13.0,30.0,-0.4,MARPLT800F,Shrub,1993.2,71.2,0.036,7.80,1.00,0.90,15°,34°,-119°,,
SUM,7/19/2024 2:46:19 PM,14.0,46.0,-1.7,MARPLT800F,Shrub,1807.5,69.5,0.038,7.31,1.00,0.88,26°,34°,-119°,,
SUM,7/19/2024 3:50:34 PM,15.0,50.0,-2.7,MARPLT800F,Shrub,1498.6,26.0,0.017,7.04,1.00,0.86,39°,34°,-119°,,
SUM,7/19/2024 5:09:10 PM,17.0,9.0,-4.1,MARPLT800F,Shrub,1038.4,11.1,0.010,5.81,1.00,0.82,55°,34°,-119°,,
SUM,7/19/2024 8:28:06 AM,8.0,28.0,4.6,MARPLT800G,Shrub,297.3,59.6,0.199,2.00,1.00,0.00,61°,34°,-119°,,
SUM,7/19/2024 10:21:57 AM,10.0,21.0,2.7,MARPLT800G,Shrub,1515.7,408.4,0.269,2.50,1.00,0.85,38°,34°,-119°,,
SUM,7/19/2024 11:50:34 AM,11.0,50.0,1.3,MARPLT800G,Shrub,1896.0,591.6,0.312,2.64,1.00,0.88,21°,34°,-119°,,
SUM,7/19/2024 1:31:57 PM,13.0,31.0,-0.4,MARPLT800G,Shrub,1985.5,658.2,0.331,2.72,1.00,0.89,15°,34°,-119°,,
SUM,7/19/2024 2:47:19 PM,14.0,47.0,-1.7,MARPLT800G,Shrub,1813.2,558.9,0.313,2.53,1.00,0.87,27°,34°,-119°,,
SUM,7/19/2024 3:51:39 PM,15.0,51.0,-2.8,MARPLT800G,Shrub,1520.3,408.5,0.266,2.87,1.00,0.87,39°,34°,-119°,,
SUM,7/19/2024 5:10:33 PM,17.0,10.0,-4.1,MARPLT800G,Shrub,1035.1,211.6,0.208,2.61,1.00,0.81,56°,34°,-119°,,
SUM,7/19/2024 8:29:31 AM,8.0,29.0,4.6,MARPLT800H,Herb,323.3,101.4,0.312,1.51,1.00,0.00,61°,34°,-119°,,
SUM,7/19/2024 10:22:55 AM,10.0,22.0,2.7,MARPLT800H,Herb,1522.4,634.2,0.424,1.88,1.00,0.85,38°,34°,-119°,,
SUM,7/19/2024 11:51:24 AM,11.0,51.0,1.2,MARPLT800H,Herb,1872.7,832.5,0.442,1.70,1.00,0.88,20°,34°,-119°,,
SUM,7/19/2024 1:32:39 PM,13.0,32.0,-0.4,MARPLT800H,Herb,1996.8,881.5,0.444,2.07,1.00,0.89,15°,34°,-119°,,
SUM,7/19/2024 2:48:22 PM,14.0,48.0,-1.7,MARPLT800H,Herb,1796.8,591.9,0.329,2.87,1.00,0.88,27°,34°,-119°,,
SUM,7/19/2024 3:52:23 PM,15.0,52.0,-2.8,MARPLT800H,Herb,1542.6,426.2,0.276,2.45,1.00,0.88,40°,34°,-119°,,
SUM,7/19/2024 8:31:05 AM,8.0,31.0,4.6,MARPLT800I,Shrub,336.5,53.4,0.159,2.31,1.00,0.01,61°,34°,-119°,,
SUM,7/19/2024 10:23:58 AM,10.0,23.0,2.7,MARPLT800I,Shrub,1535.1,179.5,0.116,3.88,1.00,0.86,37°,34°,-119°,,
SUM,7/19/2024 11:52:36 AM,11.0,52.0,1.2,MARPLT800I,Shrub,1898.1,190.0,0.101,4.75,1.00,0.88,20°,34°,-119°,,
SUM,7/19/2024 1:33:43 PM,13.0,33.0,-0.5,MARPLT800I,Shrub,1985.2,159.7,0.080,5.36,1.00,0.89,15°,34°,-119°,,
SUM,7/19/2024 2:49:14 PM,14.0,49.0,-1.7,MARPLT800I,Shrub,1807.7,132.3,0.073,5.19,1.00,0.89,27°,34°,-119°,,
SUM,7/19/2024 3:53:15 PM,15.0,53.0,-2.8,MARPLT800I,Shrub,1529.9,87.0,0.056,4.87,1.00,0.89,40°,34°,-119°,,
SUM,7/19/2024 5:11:25 PM,17.0,11.0,-4.1,MARPLT800I,Shrub,1052.1,82.3,0.076,3.29,1.00,0.86,56°,34°,-119°,,
