Annotation,Average Above PAR,Average Below PAR,Tau [Τ],Leaf Area Index [LAI],
,0.0,0.0,0.000,0.00,
,0.0,1423.2,0.000,0.00,
FFS5-TR-56,1468.7,1430.2,0.974,0.04,
CAL,0.0,1394.7,0.000,0.00,
HRNA-CAL,1653.8,1651.1,0.998,0.00,
HRNA-SAL02,1662.1,97.1,0.058,5.03,
HRNABAC142,1800.7,704.3,0.392,2.22,
HRNAARD104,1795.7,306.7,0.170,3.63,
HRNASAL114,1809.9,247.9,0.137,3.97,
HRNABAC138,1885.7,445.7,0.236,3.20,
HRNAARU103,1891.8,423.3,0.224,3.27,
HRNAARU147,1881.6,436.8,0.232,3.17,
HRNAARU156,1930.9,745.4,0.385,2.13,
HRNASAL117,1915.8,178.4,0.093,5.12,
HRNASAL125,1946.4,120.8,0.062,5.74,
HRNAGRD111,0.0,837.9,0.000,0.00,
HRNAGRD112,0.0,564.5,0.000,0.00,
HRNAGRD113,0.0,1162.0,0.000,0.00,
HRNAGRD123,0.0,249.6,0.000,0.00,
HRNAGRD133,0.0,534.9,0.000,0.00,
HRNAGRD122,0.0,220.8,0.000,0.00,
HRNAGRD122,0.0,269.5,0.000,0.00,
HRNAGRD121,0.0,630.9,0.000,0.00,
HRNAGRD131,0.0,798.8,0.000,0.00,
HRNAARU104,1996.2,493.4,0.246,3.29,
HRNABAC149,1983.4,885.1,0.446,2.01,
HRNABAC135,1980.1,438.3,0.220,3.50,
HRNACAL2,2025.3,0.0,0.000,0.00,
HRNAARU155,1981.2,135.7,0.068,5.66,
HRNAARU136,1958.0,236.8,0.121,4.83,
HRNABAC116,1974.6,1137.8,0.577,1.17,
HRNABAC121,1971.7,1031.5,0.526,1.52,
HRNAARU154,1915.0,132.8,0.068,5.44,
HRNASAL118,1976.1,139.2,0.070,5.32,
HRNASAL151,1978.9,257.6,0.130,4.49,
HRNASAL122,0.0,109.0,0.000,0.00,
HRNASAL155,1945.4,409.5,0.210,3.67,
HRNABAC123,1927.2,738.1,0.381,2.22,
HRNABAC123,1947.0,152.2,0.078,5.19,
HRNABAC140,0.0,982.3,0.000,0.00,
HRNAGRD211,0.0,375.4,0.000,0.00,
HRNAGRD212,0.0,1907.9,0.000,0.00,
HRNAGRD213,0.0,975.5,0.000,0.00,
HRNAGRD223,0.0,102.0,0.000,0.00,
HRNAGRD233,0.0,228.4,0.000,0.00,
HRNAGRD232,0.0,245.0,0.000,0.00,
HRNAGRD222,0.0,643.5,0.000,0.00,
HRNAGRD231,0.0,307.7,0.000,0.00,
HRNAGRD221,0.0,827.7,0.000,0.00,
HRNAGRD311,0.0,45.9,0.000,0.00,
HRNAGRD312,0.0,120.0,0.000,0.00,
HRNAGRD313,0.0,93.5,0.000,0.00,
HRNAGRD323,0.0,781.0,0.000,0.00,
HRNAGRD333,0.0,220.0,0.000,0.00,
HRNAGRD332,0.0,703.0,0.000,0.00,
HRNAGRD322,0.0,100.6,0.000,0.00,
HRNAGRD331,0.0,126.5,0.000,0.00,
HRNCAL3,0.0,1821.0,0.000,0.00,
SOLGRD111,713.4,139.3,0.196,1.94,
SOLGRD112,765.7,145.4,0.189,2.22,
SOLGRD113,2435.0,198.1,0.081,5.24,
SOLGRD211,2253.4,253.5,0.112,4.96,
SOLGRD221,2178.8,1180.1,0.548,1.20,
SOLGRD212,2180.3,283.9,0.130,4.60,
SOLGRD213,2199.1,924.3,0.422,2.23,
SOLGRD223,2291.6,2162.9,0.939,0.12,
SOLGRD222,689.7,294.8,0.461,1.13,
SOLGRD231,516.6,243.7,0.472,0.89,
SOLGRD133,451.6,105.0,0.232,1.72,
SOLGRD131,476.3,31.0,0.065,3.30,
SOLGRD311,433.7,105.7,0.245,1.66,
SOLGRD312,440.8,80.3,0.182,2.00,
SOLGRD313,445.5,122.2,0.273,1.53,
SOLGRD322,491.9,133.4,0.270,1.53,
SOLGRD321,0.0,220.5,0.000,0.00,
SOLGRD323,0.0,47.6,0.000,0.00,
SOLGRD333,0.0,113.4,0.000,0.00,
SOLGRD332,604.7,90.0,0.148,2.23,
SOLGRD411,0.0,129.7,0.000,0.00,
SOLGRD412,0.0,141.0,0.000,0.00,
SOLGRD413,0.0,383.1,0.000,0.00,
SOLGRD511,0.0,453.0,0.000,0.00,
SOLGRD512,0.0,82.9,0.000,0.00,
SOLGRD513,0.0,82.8,0.000,0.00,
