datetime,year,month,day,hour,minute,day_frac,par_1,par_2,par_avg
7/16/2024 10:28 AM,2024,7,16,10,28.00,0.436111111,1.1,1706.5,853.8
7/16/2024 10:29 AM,2024,7,16,10,29.00,0.436805556,1728.3,1692.8,1710.6
7/16/2024 10:30 AM,2024,7,16,10,30.00,0.4375,1729.1,1694.0,1711.5
7/16/2024 10:31 AM,2024,7,16,10,31.00,0.438194444,1737.4,1702.3,1719.9
7/16/2024 10:32 AM,2024,7,16,10,32.00,0.438888889,1740.0,1706.8,1723.4
7/16/2024 10:33 AM,2024,7,16,10,33.00,0.439583333,1745.6,1715.3,1730.5
7/16/2024 10:34 AM,2024,7,16,10,34.00,0.440277778,1747.2,1713.4,1730.3
7/16/2024 10:35 AM,2024,7,16,10,35.00,0.440972222,1755.7,1724.4,1740.0
7/16/2024 10:36 AM,2024,7,16,10,36.00,0.441666667,1760.8,1729.4,1745.1
7/16/2024 10:37 AM,2024,7,16,10,37.00,0.442361111,1765.6,1734.4,1750.0
7/16/2024 10:38 AM,2024,7,16,10,38.00,0.443055556,1767.0,1738.2,1752.6
7/16/2024 10:39 AM,2024,7,16,10,39.00,0.44375,1772.6,1745.2,1758.9
7/16/2024 10:40 AM,2024,7,16,10,40.00,0.444444444,1775.9,1748.3,1762.1
7/16/2024 10:41 AM,2024,7,16,10,41.00,0.445138889,1783.4,1752.8,1768.1
7/16/2024 10:42 AM,2024,7,16,10,42.00,0.445833333,1783.8,1759.2,1771.5
7/16/2024 10:43 AM,2024,7,16,10,43.00,0.446527778,1792.5,1762.3,1777.4
7/16/2024 10:44 AM,2024,7,16,10,44.00,0.447222222,1795.6,1772.8,1784.2
7/16/2024 10:45 AM,2024,7,16,10,45.00,0.447916667,1805.1,1777.7,1791.4
7/16/2024 10:46 AM,2024,7,16,10,46.00,0.448611111,1808.9,1784.7,1796.8
7/16/2024 10:47 AM,2024,7,16,10,47.00,0.449305556,1813.8,1789.2,1801.5
7/16/2024 10:48 AM,2024,7,16,10,48.00,0.45,1821.8,1794.5,1808.2
7/16/2024 10:49 AM,2024,7,16,10,49.00,0.450694444,1822.4,1801.8,1812.1
7/16/2024 10:50 AM,2024,7,16,10,50.00,0.451388889,1827.5,1806.3,1816.9
7/16/2024 10:51 AM,2024,7,16,10,51.00,0.452083333,1832.6,1811.3,1822.0
7/16/2024 10:52 AM,2024,7,16,10,52.00,0.452777778,1837.5,1814.3,1825.9
7/16/2024 10:53 AM,2024,7,16,10,53.00,0.453472222,1842.1,1819.2,1830.6
7/16/2024 10:54 AM,2024,7,16,10,54.00,0.454166667,1843.2,1822.1,1832.6
7/16/2024 10:55 AM,2024,7,16,10,55.00,0.454861111,1849.8,1828.4,1839.1
7/16/2024 10:56 AM,2024,7,16,10,56.00,0.455555556,1856.7,1835.7,1846.2
7/16/2024 10:57 AM,2024,7,16,10,57.00,0.45625,1859.2,1841.7,1850.4
7/16/2024 10:58 AM,2024,7,16,10,58.00,0.456944444,1865.4,1845.4,1855.4
7/16/2024 10:59 AM,2024,7,16,10,59.00,0.457638889,1868.5,1850.6,1859.5
7/16/2024 11:00 AM,2024,7,16,11,0.00,0.458333333,1873.3,1856.3,1864.8
7/16/2024 11:01 AM,2024,7,16,11,1.00,0.459027778,1881.2,1861.0,1871.1
7/16/2024 11:02 AM,2024,7,16,11,2.00,0.459722222,1884.8,1868.1,1876.5
7/16/2024 11:03 AM,2024,7,16,11,3.00,0.460416667,1892.4,1873.7,1883.0
7/16/2024 11:04 AM,2024,7,16,11,4.00,0.461111111,1896.9,1876.0,1886.5
7/16/2024 11:05 AM,2024,7,16,11,5.00,0.461805556,1904.3,1883.6,1894.0
7/16/2024 11:06 AM,2024,7,16,11,6.00,0.4625,1907.6,1887.4,1897.5
7/16/2024 11:07 AM,2024,7,16,11,7.00,0.463194444,1907.2,1891.2,1899.2
7/16/2024 11:08 AM,2024,7,16,11,8.00,0.463888889,1910.3,1895.4,1902.9
7/16/2024 11:09 AM,2024,7,16,11,9.00,0.464583333,1913.8,1896.5,1905.2
7/16/2024 11:10 AM,2024,7,16,11,10.00,0.465277778,1918.6,1901.9,1910.3
7/16/2024 11:11 AM,2024,7,16,11,11.00,0.465972222,1919.8,1904.7,1912.3
7/16/2024 11:12 AM,2024,7,16,11,12.00,0.466666667,1923.7,1908.0,1915.8
7/16/2024 11:13 AM,2024,7,16,11,13.00,0.467361111,1930.1,1914.4,1922.3
7/16/2024 11:14 AM,2024,7,16,11,14.00,0.468055556,1934.1,1919.1,1926.6
7/16/2024 11:15 AM,2024,7,16,11,15.00,0.46875,1941.6,1923.6,1932.6
7/16/2024 11:16 AM,2024,7,16,11,16.00,0.469444444,1945.7,1930.4,1938.0
7/16/2024 11:17 AM,2024,7,16,11,17.00,0.470138889,1945.5,1931.3,1938.4
7/16/2024 11:18 AM,2024,7,16,11,18.00,0.470833333,1951.1,1934.8,1943.0
7/16/2024 11:19 AM,2024,7,16,11,19.00,0.471527778,1955.7,1941.1,1948.4
7/16/2024 11:20 AM,2024,7,16,11,20.00,0.472222222,1955.0,1945.3,1950.2
7/16/2024 11:21 AM,2024,7,16,11,21.00,0.472916667,1960.3,1948.0,1954.2
7/16/2024 11:22 AM,2024,7,16,11,22.00,0.473611111,1965.7,1953.8,1959.8
7/16/2024 11:23 AM,2024,7,16,11,23.00,0.474305556,1970.5,1957.9,1964.2
7/16/2024 11:24 AM,2024,7,16,11,24.00,0.475,1973.9,1959.3,1966.6
7/16/2024 11:25 AM,2024,7,16,11,25.00,0.475694444,1974.5,1963.5,1969.0
7/16/2024 11:26 AM,2024,7,16,11,26.00,0.476388889,1978.7,1970.1,1974.4
7/16/2024 11:27 AM,2024,7,16,11,27.00,0.477083333,1986.1,1972.0,1979.0
7/16/2024 11:28 AM,2024,7,16,11,28.00,0.477777778,1989.1,1979.6,1984.3
7/16/2024 11:29 AM,2024,7,16,11,29.00,0.478472222,1993.0,1986.8,1989.9
7/16/2024 11:30 AM,2024,7,16,11,30.00,0.479166667,1997.8,1991.0,1994.4
7/16/2024 11:31 AM,2024,7,16,11,31.00,0.479861111,2001.6,1993.1,1997.3
7/16/2024 11:32 AM,2024,7,16,11,32.00,0.480555556,2002.5,1995.1,1998.8
7/16/2024 11:33 AM,2024,7,16,11,33.00,0.48125,2012.9,2000.0,2006.5
7/16/2024 11:34 AM,2024,7,16,11,34.00,0.481944444,2015.9,2005.1,2010.5
7/16/2024 11:35 AM,2024,7,16,11,35.00,0.482638889,2014.6,2007.5,2011.0
7/16/2024 11:36 AM,2024,7,16,11,36.00,0.483333333,2021.5,2014.2,2017.8
7/16/2024 11:37 AM,2024,7,16,11,37.00,0.484027778,2018.9,2014.6,2016.8
7/16/2024 11:38 AM,2024,7,16,11,38.00,0.484722222,2024.1,2022.0,2023.0
7/16/2024 11:39 AM,2024,7,16,11,39.00,0.485416667,2027.6,2021.4,2024.5
7/16/2024 11:40 AM,2024,7,16,11,40.00,0.486111111,2030.1,2020.7,2025.4
7/16/2024 11:41 AM,2024,7,16,11,41.00,0.486805556,2036.7,2027.6,2032.1
7/16/2024 11:42 AM,2024,7,16,11,42.00,0.4875,2039.2,2029.6,2034.4
7/16/2024 11:43 AM,2024,7,16,11,43.00,0.488194444,2042.1,2035.5,2038.8
7/16/2024 11:44 AM,2024,7,16,11,44.00,0.488888889,2046.9,2040.7,2043.8
7/16/2024 11:45 AM,2024,7,16,11,45.00,0.489583333,2045.1,2041.3,2043.2
7/16/2024 11:46 AM,2024,7,16,11,46.00,0.490277778,2051.7,2045.6,2048.6
7/16/2024 11:47 AM,2024,7,16,11,47.00,0.490972222,2051.7,2044.0,2047.8
7/16/2024 11:48 AM,2024,7,16,11,48.00,0.491666667,2051.1,2040.3,2045.7
7/16/2024 11:49 AM,2024,7,16,11,49.00,0.492361111,2053.5,2051.6,2052.6
7/16/2024 11:50 AM,2024,7,16,11,50.00,0.493055556,2054.8,2054.3,2054.6
7/16/2024 11:51 AM,2024,7,16,11,51.00,0.49375,2060.7,2057.1,2058.9
7/16/2024 11:52 AM,2024,7,16,11,52.00,0.494444444,2069.6,2060.0,2064.8
7/16/2024 11:53 AM,2024,7,16,11,53.00,0.495138889,2069.4,2062.3,2065.8
7/16/2024 11:54 AM,2024,7,16,11,54.00,0.495833333,2070.9,2067.8,2069.3
7/16/2024 11:55 AM,2024,7,16,11,55.00,0.496527778,2073.6,2071.0,2072.3
7/16/2024 11:56 AM,2024,7,16,11,56.00,0.497222222,2077.3,2075.2,2076.3
7/16/2024 11:57 AM,2024,7,16,11,57.00,0.497916667,2078.8,2073.2,2076.0
7/16/2024 11:58 AM,2024,7,16,11,58.00,0.498611111,2080.4,2080.8,2080.6
7/16/2024 11:59 AM,2024,7,16,11,59.00,0.499305556,2084.8,2081.9,2083.3
7/16/2024 12:00 PM,2024,7,16,12,0.00,0.5,2087.3,2086.1,2086.7
7/16/2024 12:01 PM,2024,7,16,12,1.00,0.500694444,2087.3,2086.3,2086.8
7/16/2024 12:02 PM,2024,7,16,12,2.00,0.501388889,2093.1,2093.8,2093.5
7/16/2024 12:03 PM,2024,7,16,12,3.00,0.502083333,2094.5,2096.7,2095.6
7/16/2024 12:04 PM,2024,7,16,12,4.00,0.502777778,2098.9,2098.5,2098.7
7/16/2024 12:05 PM,2024,7,16,12,5.00,0.503472222,2100.6,2099.5,2100.1
7/16/2024 12:06 PM,2024,7,16,12,6.00,0.504166667,2105.9,2105.6,2105.8
7/16/2024 12:07 PM,2024,7,16,12,7.00,0.504861111,2108.0,2107.4,2107.7
7/16/2024 12:08 PM,2024,7,16,12,8.00,0.505555556,2108.0,2113.4,2110.7
7/16/2024 12:09 PM,2024,7,16,12,9.00,0.50625,2112.5,2112.2,2112.3
7/16/2024 12:10 PM,2024,7,16,12,10.00,0.506944444,2113.6,2117.0,2115.3
7/16/2024 12:11 PM,2024,7,16,12,11.00,0.507638889,2122.2,2123.4,2122.8
7/16/2024 12:12 PM,2024,7,16,12,12.00,0.508333333,2118.6,2123.0,2120.8
7/16/2024 12:13 PM,2024,7,16,12,13.00,0.509027778,2117.9,2123.2,2120.5
7/16/2024 12:14 PM,2024,7,16,12,14.00,0.509722222,2125.6,2124.9,2125.3
7/16/2024 12:15 PM,2024,7,16,12,15.00,0.510416667,2125.6,2129.1,2127.4
7/16/2024 12:16 PM,2024,7,16,12,16.00,0.511111111,2132.0,2128.1,2130.1
7/16/2024 12:17 PM,2024,7,16,12,17.00,0.511805556,2128.8,2135.7,2132.3
7/16/2024 12:18 PM,2024,7,16,12,18.00,0.5125,2131.8,2137.8,2134.8
7/16/2024 12:19 PM,2024,7,16,12,19.00,0.513194444,2131.6,2138.3,2135.0
7/16/2024 12:20 PM,2024,7,16,12,20.00,0.513888889,2131.5,2135.9,2133.7
7/16/2024 12:21 PM,2024,7,16,12,21.00,0.514583333,2133.2,2141.0,2137.1
7/16/2024 12:22 PM,2024,7,16,12,22.00,0.515277778,2132.9,2139.4,2136.1
7/16/2024 12:23 PM,2024,7,16,12,23.00,0.515972222,2134.5,2143.1,2138.8
